tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg,sic
ADM,ARCHER-DANIELS-MIDLAND CO,31DEC2018,2018,40833.0,21788.0,18996.0,64341.0,1810.0,11.0,2070.0
ARCB,ARCBEST CORP,31DEC2018,2018,1539.231,821.549,717.682,3093.788,67.262,14.0,4213.0
ARW,ARROW ELECTRONICS INC,31DEC2018,2018,17784.445,12408.079,5376.366,29676.768,716.195,11.0,5065.0
ARTW,ARTS WAY MFG INC,30NOV2018,2018,21.325,8.288,13.037,19.727,-3.387,14.0,3523.0
ASH,ASHLAND GLOBAL HOLDINGS INC,30SEP2018,2018,8252.0,4846.0,3406.0,3743.0,114.0,11.0,2820.0
ALOT,ASTRONOVA INC,31JAN2019,2018,118.983,49.208,69.775,136.657,5.73,14.0,3577.0
ATRO,ASTRONICS CORP,31DEC2018,2018,774.64,388.015,386.625,803.256,46.803,14.0,3640.0
REX,REX AMERICAN RESOURCES CORP,31JAN2019,2018,471.393,26.122,445.271,486.671,31.645,11.0,2860.0
ADSK,AUTODESK INC,31JAN2019,2018,4729.2,4940.1,-210.9,2569.8,-80.8,14.0,7370.0
ADP,AUTOMATIC DATA PROCESSING,30JUN2018,2018,37088.7,33629.1,3459.6,13325.8,1620.8,14.0,7374.0
AVY,AVERY DENNISON CORP,31DEC2018,2018,5177.5,4222.4,955.1,7159.0,467.4,11.0,2670.0
AVT,AVNET INC,30JUN2018,2018,9596.845,4911.764,4685.081,19036.892,-156.424,14.0,5065.0
AZZ,AZZ INC,28FEB2019,2018,1088.57,484.842,603.728,927.087,51.208,11.0,3640.0
BTI,BRITISH AMER TOBACCO PLC,31DEC2018,2018,186512.879,102793.523,83719.356,31215.054,7687.784,11.0,2111.0
BRT,BRT APARTMENTS CORP,30SEP2018,2018,1153.364,856.879,296.485,119.247,23.773,11.0,6798.0
BMI,BADGER METER INC,31DEC2018,2018,392.691,89.188,303.503,433.732,27.79,11.0,3824.0
BCPC,BALCHEM CORP  -CL B,31DEC2018,2018,981.355,289.737,691.618,643.679,78.573,14.0,2834.0
PTVCB,PROTECTIVE INSURANCE CORP,31DEC2018,2018,1490.131,1134.049,356.082,448.512,-34.075,14.0,6331.0
BLL,BALL CORP,31DEC2018,2018,16554.0,12992.0,3562.0,11635.0,454.0,11.0,3411.0
BPOP,POPULAR INC,31DEC2018,2018,47604.577,42169.52,5435.057,2549.917,618.158,14.0,6020.0
BOH,BANK OF HAWAII CORP,31DEC2018,2018,17143.974,15875.774,1268.2,719.096,219.602,11.0,6020.0
BK,BANK OF NEW YORK MELLON CORP,31DEC2018,2018,362873.0,322005.0,40739.0,19213.0,4266.0,11.0,6020.0
B,BARNES GROUP INC,31DEC2018,2018,2808.97,1605.914,1203.056,1495.889,166.186,11.0,3490.0
BRN,BARNWELL INDUSTRIES,30SEP2018,2018,31.378,15.139,16.239,9.206,-1.77,12.0,1311.0
GOLD,BARRICK GOLD CORP,31DEC2018,2018,22631.0,13246.0,9385.0,7243.0,-1545.0,11.0,1040.0
BSET,BASSETT FURNITURE INDS,30NOV2018,2018,291.641,101.332,190.309,456.855,8.218,14.0,2511.0
BAX,BAXTER INTERNATIONAL INC,31DEC2018,2018,15641.0,7825.0,7816.0,11127.0,1624.0,11.0,2834.0
AIT,APPLIED INDUSTRIAL TECH INC,30JUN2018,2018,2285.741,1470.778,814.963,3073.274,141.625,11.0,5080.0
BDX,BECTON DICKINSON & CO,30SEP2018,2018,53904.0,32910.0,20994.0,15983.0,311.0,11.0,3841.0
BELFB,BEL FUSE INC,31DEC2018,2018,443.524,267.054,176.47,548.184,20.709,14.0,3677.0
VZ,VERIZON COMMUNICATIONS INC,31DEC2018,2018,264829.0,210119.0,54710.0,130863.0,15528.0,11.0,4812.0
BRK.B,BERKSHIRE HATHAWAY,31DEC2018,2018,707794.0,355294.0,352500.0,225382.0,4021.0,11.0,9997.0
BBY,BEST BUY CO INC,31JAN2019,2018,12901.0,9595.0,3306.0,42879.0,1464.0,11.0,5731.0
BIO,BIO-RAD LABORATORIES INC,31DEC2018,2018,5611.068,1590.737,4020.331,2289.415,365.614,11.0,3826.0
BKH,BLACK HILLS CORP,31DEC2018,2018,6963.327,4675.904,2287.423,1754.268,258.442,11.0,4911.0
HRB,BLOCK H & R INC,30APR2019,2018,3299.945,2758.418,541.527,3094.881,422.509,11.0,7200.0
BA,BOEING CO,31DEC2018,2018,117359.0,116949.0,410.0,101127.0,10460.0,11.0,3721.0
RHI,ROBERT HALF INTL INC,31DEC2018,2018,1903.097,839.899,1063.198,5800.271,434.288,11.0,7363.0
RFP,RESOLUTE FOREST PRODUCTS INC,31DEC2018,2018,3935.0,2400.0,1535.0,3756.0,235.0,11.0,2621.0
BWL.A,BOWL AMERICA INC  -CL A,30JUN2018,2018,28.909,4.425,24.484,24.771,3.786,12.0,7900.0
BRC,BRADY CORP,31JUL2018,2018,1056.931,304.819,752.112,1173.851,91.06,11.0,3990.0
BAM,BROOKFIELD ASSET MANAGEMENT,31DEC2018,2018,256281.0,159131.0,97150.0,57937.0,3584.0,11.0,6200.0
BRID,BRIDGFORD FOODS CORP,31OCT2018,2018,101.494,35.814,65.68,174.257,6.517,14.0,2013.0
BMY,BRISTOL-MYERS SQUIBB CO,31DEC2018,2018,34986.0,20859.0,14127.0,22561.0,4920.0,11.0,2834.0
BP,BP PLC,31DEC2018,2018,282176.0,180628.0,101548.0,298756.0,9383.0,11.0,2911.0
BF.B,BROWN FORMAN CORP,30APR2019,2018,5139.0,3492.0,1647.0,3324.0,835.0,11.0,2085.0
CAL,CALERES INC,31JAN2019,2018,1838.568,1203.133,635.435,2834.846,-5.441,11.0,3140.0
BC,BRUNSWICK CORP,31DEC2018,2018,4285.7,2703.1,1582.6,5159.2,265.3,11.0,3510.0
MTRN,MATERION CORP,31DEC2018,2018,800.341,246.435,553.906,1207.815,20.846,11.0,3330.0
MTZ,MASTEC INC,31DEC2018,2018,4439.953,3047.929,1392.024,6909.417,259.659,11.0,1623.0
UIS,UNISYS CORP,31DEC2018,2018,2457.6,3757.2,-1299.6,2825.0,75.5,11.0,7373.0
RAMP,LIVERAMP HOLDINGS INC,31MAR2019,2018,1472.911,142.079,1330.832,285.62,1028.547,11.0,7370.0
CI,CIGNA CORP,31DEC2018,2018,153226.0,112154.0,41035.0,48489.0,2637.0,11.0,6324.0
CNA,CNA FINANCIAL CORP,31DEC2018,2018,57152.0,45935.0,11217.0,10150.0,813.0,11.0,6331.0
CSPI,CSP INC,30SEP2018,2018,55.275,21.473,33.802,72.916,14.44,14.0,7373.0
CSX,CSX CORP,31DEC2018,2018,36729.0,24149.0,12580.0,12250.0,3309.0,14.0,4011.0
CTS,CTS CORP,31DEC2018,2018,548.341,170.412,377.929,470.483,46.532,11.0,3670.0
CVV,CVD EQUIPMENT CORP,31DEC2018,2018,52.515,16.123,36.392,24.334,-5.201,14.0,3559.0
CBT,CABOT CORP,30SEP2018,2018,3244.0,1965.0,1279.0,3242.0,-113.0,11.0,2890.0
CACI,CACI INTL INC  -CL A,30JUN2018,2018,4034.206,1927.319,2106.887,4467.86,301.171,11.0,7373.0
CAMP,CALAMP CORP,28FEB2019,2018,603.626,397.973,205.653,363.8,18.398,14.0,3663.0
CWT,CALIFORNIA WATER SERVICE GP,31DEC2018,2018,2837.704,2107.547,730.157,698.196,65.584,11.0,4941.0
CPB,CAMPBELL SOUP CO,31JUL2018,2018,14529.0,13156.0,1373.0,8685.0,261.0,11.0,2030.0
STZ,CONSTELLATION BRANDS,28FEB2019,2018,29231.5,16394.3,12837.2,8116.0,3435.9,11.0,2082.0
CAJ,CANON INC,31DEC2018,2018,44655.635,17149.199,27506.436,36019.495,2303.708,11.0,3577.0
CAH,CARDINAL HEALTH INC,30JUN2018,2018,39951.0,33880.0,6059.0,136809.0,256.0,11.0,5122.0
CSL,CARLISLE COS INC,31DEC2018,2018,5249.2,2651.8,2597.4,4479.5,610.4,11.0,2950.0
CRS,CARPENTER TECHNOLOGY CORP,30JUN2018,2018,3007.0,1521.1,1485.9,2157.7,188.5,11.0,3312.0
CASY,CASEYS GENERAL STORES INC,30APR2019,2018,3731.376,2322.607,1408.769,8364.91,203.886,14.0,5412.0
CAT,CATERPILLAR INC,31DEC2018,2018,78509.0,64429.0,14080.0,54722.0,6147.0,11.0,3531.0
CATO,CATO CORP  -CL A,31JAN2019,2018,497.906,181.07,316.836,829.664,30.461,11.0,5621.0
CVCO,CAVCO INDUSTRIES INC,31MAR2019,2018,725.216,195.628,529.588,962.746,68.622,14.0,2452.0
RFIL,R F INDUSTRIES LTD,31OCT2018,2018,32.502,4.719,27.783,50.196,5.846,14.0,3678.0
LUMN,CENTURYLINK INC,31DEC2018,2018,70256.0,50428.0,19828.0,23443.0,-1733.0,11.0,4813.0
MGLN,MAGELLAN HEALTH INC,31DEC2018,2018,2979.056,1693.753,1285.303,7314.151,24.181,14.0,8741.0
CMD,CANTEL MEDICAL CORP,31JUL2018,2018,963.708,354.841,608.867,871.922,91.041,11.0,3845.0
CHE,CHEMED CORP,31DEC2018,2018,975.529,384.195,591.334,1782.648,205.544,11.0,8082.0
JPM,JPMORGAN CHASE & CO,31DEC2018,2018,2622532.0,2366017.0,256515.0,131412.0,32474.0,11.0,6020.0
CPK,CHESAPEAKE UTILITIES CORP,31DEC2018,2018,1693.671,1175.232,518.439,717.489,56.58,11.0,4923.0
CLSN,CELSION CORP,31DEC2018,2018,46.856,25.995,20.861,0.5,-11.883,14.0,2836.0
CVX,CHEVRON CORP,31DEC2018,2018,253863.0,98221.0,155642.0,158902.0,14824.0,11.0,2911.0
CVR,CHICAGO RIVET & MACHINE CO,31DEC2018,2018,33.247,3.487,29.76,37.174,2.001,12.0,3452.0
EAT,BRINKER INTL INC,30JUN2018,2018,1347.34,2065.649,-718.309,3135.417,125.882,11.0,5812.0
CHD,CHURCH & DWIGHT INC,31DEC2018,2018,6069.2,3615.4,2453.8,4145.9,568.6,11.0,2840.0
CHDN,CHURCHILL DOWNS INC,31DEC2018,2018,1725.2,1251.9,473.3,1009.0,352.8,14.0,7990.0
CBB,CINCINNATI BELL INC,31DEC2018,2018,2730.2,2805.2,-75.0,1378.2,-69.8,11.0,4813.0
CTAS,CINTAS CORP,31MAY2019,2018,7436.662,4433.941,3002.721,6892.303,884.981,14.0,7200.0
IHRT,IHEARTMEDIA INC,31DEC2018,2018,12269.515,23829.857,-11560.342,6325.78,-201.91,14.0,4832.0
CLF,CLEVELAND-CLIFFS INC,31DEC2018,2018,3529.6,3105.4,424.2,2333.4,1128.1,11.0,1000.0
CLX,CLOROX CO/DE,30JUN2018,2018,5060.0,4334.0,726.0,6124.0,823.0,11.0,2842.0
COKE,COCA COLA CONSOLIDATED INC,31DEC2018,2018,3009.928,2554.762,455.166,4625.364,-19.93,14.0,2086.0
KO,COCA-COLA CO,31DEC2018,2018,83216.0,64158.0,19058.0,31856.0,6434.0,11.0,2086.0
CDE,COEUR MINING INC,31DEC2018,2018,1712.5,859.988,852.512,625.904,-48.405,11.0,1040.0
COHR,COHERENT INC,30SEP2018,2018,2259.969,945.505,1314.464,1902.573,247.358,14.0,3826.0
COHU,COHU INC,31DEC2018,2018,1134.002,588.058,545.944,451.768,-32.181,14.0,3825.0
CL,COLGATE-PALMOLIVE CO,31DEC2018,2018,12161.0,11964.0,197.0,15544.0,2400.0,11.0,2844.0
CCF,CHASE CORP,31AUG2018,2018,316.469,69.713,246.756,284.188,43.143,12.0,2891.0
AON,AON PLC,31DEC2018,2018,26422.0,22203.0,4219.0,10770.0,1134.0,11.0,6411.0
CMCSA,COMCAST CORP,31DEC2018,2018,251684.0,177866.0,72502.0,94507.0,11731.0,14.0,4841.0
CMA,COMERICA INC,31DEC2018,2018,70818.0,63311.0,7507.0,3595.0,1235.0,11.0,6020.0
CBSH,COMMERCE BANCSHARES INC,31DEC2018,2018,25463.842,22526.693,2937.149,1382.354,433.542,14.0,6020.0
C,CITIGROUP INC,31DEC2018,2018,1917383.0,1720309.0,197074.0,96720.0,18045.0,11.0,6199.0
CMC,COMMERCIAL METALS,31AUG2018,2018,3328.304,1834.721,1493.583,4643.723,138.506,11.0,3312.0
JCS,COMMUNICATIONS SYSTEMS INC,31DEC2018,2018,53.321,11.668,41.653,65.763,-6.792,14.0,3661.0
CAR,AVIS BUDGET GROUP INC,31DEC2018,2018,19149.0,18735.0,414.0,9124.0,165.0,14.0,7510.0
DXC,DXC TECHNOLOGY CO,31MAR2019,2018,29574.0,17849.0,11725.0,20753.0,1257.0,11.0,7370.0
CTG,COMPUTER TASK GROUP INC,31DEC2018,2018,124.121,59.893,64.228,358.769,-2.817,14.0,7370.0
CMTL,COMTECH TELECOMMUN,31JUL2018,2018,845.157,339.473,505.684,570.589,29.769,14.0,3663.0
CAG,CONAGRA BRANDS INC,31MAY2019,2018,22213.8,14750.1,7463.7,9538.4,678.3,11.0,2000.0
RAVE,RAVE RESTAURANT GROUP INC,30JUN2018,2018,10.986,4.687,6.299,15.12,1.912,14.0,6794.0
SSTK,SHUTTERSTOCK INC,31DEC2018,2018,531.488,244.821,286.667,623.25,54.687,11.0,7370.0
TCI,TRANSCONTINENTAL RLTY INVS,31DEC2018,2018,862.38,481.979,380.401,137.877,181.45,11.0,6513.0
ED,CONSOLIDATED EDISON INC,31DEC2018,2018,53920.0,37081.0,16839.0,12337.0,1382.0,11.0,4931.0
BH,BIGLARI HOLDINGS INC,31DEC2018,2018,1029.493,459.038,570.455,809.894,19.392,11.0,5812.0
CTO,CTO REALTY GROWTH INC,31DEC2018,2018,556.33,344.569,211.761,86.689,37.168,12.0,6510.0
CMS,CMS ENERGY CORP,31DEC2018,2018,24529.0,19737.0,4792.0,6873.0,657.0,11.0,4931.0
CLR,CONTINENTAL RESOURCES INC,31DEC2018,2018,15297.947,8876.086,6421.861,4709.586,988.317,11.0,1311.0
CTB,COOPER TIRE & RUBBER CO,31DEC2018,2018,2634.205,1401.762,1232.443,2808.062,76.586,11.0,3011.0
COO,COOPER COS INC (THE),31OCT2018,2018,6112.8,2805.0,3307.8,2532.8,139.9,11.0,3851.0
TAP,MOLSON COORS BEVERAGE CO,31DEC2018,2018,30109.8,16374.0,13735.8,10769.6,1116.5,11.0,2082.0
GLW,CORNING INC,31DEC2018,2018,27505.0,13619.0,13886.0,11290.0,1066.0,11.0,3679.0
CUZ,COUSINS PROPERTIES INC,31DEC2018,2018,4146.296,1325.14,2821.156,487.436,79.164,11.0,6798.0
CBRL,CRACKER BARREL OLD CTRY STOR,31JUL2018,2018,1527.355,945.574,581.781,3030.445,247.62,14.0,5812.0
CR,CRANE CO,31DEC2018,2018,4042.7,2515.6,1527.1,3345.5,335.6,11.0,3490.0
CRD.A,CRAWFORD & CO,31DEC2018,2018,701.442,520.496,175.446,1122.979,25.978,11.0,6411.0
OMF,ONEMAIN HOLDINGS INC,31DEC2018,2018,20090.0,16291.0,3799.0,4241.0,447.0,11.0,6141.0
CCK,CROWN HOLDINGS INC,31DEC2018,2018,15262.0,13976.0,1286.0,11151.0,439.0,11.0,3411.0
CRWS,CROWN CRAFTS INC,31MAR2019,2018,54.779,13.391,41.388,76.381,5.019,14.0,2211.0
CUB,CUBIC CORP,30SEP2018,2018,1304.883,580.687,724.196,1202.898,12.31,11.0,3578.0
CFR,CULLEN/FROST BANKERS INC,31DEC2018,2018,32292.966,28924.049,3368.917,1397.287,454.918,11.0,6020.0
CULP,CULP INC,30APR2019,2018,219.726,55.479,164.247,296.669,5.676,11.0,2211.0
CMI,CUMMINS INC,31DEC2018,2018,19062.0,10803.0,8259.0,23771.0,2141.0,11.0,3510.0
CW,CURTISS-WRIGHT CORP,31DEC2018,2018,3255.385,1724.604,1530.781,2411.835,275.749,11.0,3728.0
WEN,WENDY'S CO,31DEC2018,2018,4292.035,3643.586,648.449,1589.936,460.115,14.0,5812.0
DAN,DANA INC,31DEC2018,2018,5918.0,4376.0,1442.0,8143.0,427.0,11.0,3714.0
DHR,DANAHER CORP,31DEC2018,2018,47832.5,19605.8,28226.7,19893.0,2650.9,11.0,3826.0
DAIO,DATA I/O CORP,31DEC2018,2018,30.723,7.366,23.357,29.224,1.606,14.0,3825.0
DWSN,DAWSON GEOPHYSICAL CO,31DEC2018,2018,150.685,33.669,117.016,154.156,-24.407,14.0,1382.0
TGT,TARGET CORP,31JAN2019,2018,41290.0,29993.0,11297.0,75356.0,2937.0,11.0,5331.0
DE,DEERE & CO,31OCT2018,2018,70108.0,58802.8,11291.2,36577.7,2368.4,11.0,3523.0
DAL,DELTA AIR LINES INC,31DEC2018,2018,60266.0,46579.0,13687.0,44438.0,3935.0,11.0,4512.0
DLX,DELUXE CORP,31DEC2018,2018,2305.096,1389.683,915.413,1998.025,149.63,11.0,2780.0
DTE,DTE ENERGY CO,31DEC2018,2018,36288.0,25571.0,10717.0,14212.0,1120.0,11.0,4931.0
ATGE,ADTALEM GLOBAL EDUCATION INC,30JUN2018,2018,2344.961,816.565,1519.286,1231.211,33.769,11.0,8200.0
DBD,DIEBOLD NIXDORF INC,31DEC2018,2018,4311.9,4341.1,-159.6,4578.6,-568.7,11.0,3578.0
NSYS,NORTECH SYSTEMS INC,31DEC2018,2018,59.96,38.87,21.09,113.37,0.166,14.0,3679.0
DDS,DILLARDS INC  -CL A,31JAN2019,2018,3431.369,1752.988,1678.381,6503.349,170.263,11.0,5311.0
DIOD,DIODES INC,31DEC2018,2018,1526.371,548.939,977.432,1213.989,104.021,14.0,3674.0
DIS,DISNEY (WALT) CO,30SEP2018,2018,98598.0,44643.0,52832.0,59434.0,12598.0,11.0,4888.0
DXYN,DIXIE GROUP INC,31DEC2018,2018,252.778,193.794,58.984,405.033,-21.384,14.0,2273.0
DG,DOLLAR GENERAL CORP,31JAN2019,2018,13204.038,6786.645,6417.393,25625.043,1589.472,11.0,5331.0
D,DOMINION ENERGY INC,31DEC2018,2018,77914.0,55866.0,22048.0,13581.0,2447.0,11.0,4911.0
DCI,DONALDSON CO INC,31JUL2018,2018,1976.6,1118.8,857.8,2741.2,180.3,11.0,3714.0
RRD,DONNELLEY (R R) & SONS CO,31DEC2018,2018,3640.8,3886.2,-245.4,6800.2,-11.0,11.0,2750.0
DMLP,DORCHESTER MINERALS  -LP,31DEC2018,2018,87.923,1.276,86.647,73.278,53.907,14.0,6792.0
DOV,DOVER CORP,31DEC2018,2018,8365.771,5597.105,2768.666,6992.118,570.267,11.0,3585.0
DD,DUPONT DE NEMOURS INC,31DEC2018,2018,188030.0,91851.0,96179.0,85977.0,3844.0,11.0,2860.0
OMC,OMNICOM GROUP,31DEC2018,2018,24617.0,21265.8,3106.9,15290.2,1326.4,11.0,7311.0
DCO,DUCOMMUN INC,31DEC2018,2018,648.143,391.318,256.825,629.307,9.035,11.0,3728.0
DUK,DUKE ENERGY CORP,31DEC2018,2018,145392.0,101558.0,43834.0,24521.0,2666.0,11.0,4931.0
DNB,DUN & BRADSTREET HOLDNGS INC,31DEC2018,2018,1820.9,2510.8,-689.9,1716.4,288.1,11.0,7323.0
FLS,FLOWSERVE CORP,31DEC2018,2018,4616.277,2955.497,1660.78,3832.666,119.671,11.0,3561.0
DY,DYCOM INDUSTRIES INC,31JAN2019,2018,2097.503,1293.335,804.168,3127.7,62.907,11.0,1623.0
DYNT,DYNATRONICS CORP,30JUN2018,2018,42.054,20.677,21.377,64.415,-1.602,14.0,3845.0
PKI,PERKINELMER INC,31DEC2018,2018,5975.522,3390.567,2584.955,2777.996,237.927,11.0,3826.0
EML,EASTERN CO,31DEC2018,2018,181.248,84.379,96.869,234.275,14.506,14.0,3420.0
EGP,EASTGROUP PROPERTIES,31DEC2018,2018,2131.705,1227.002,904.703,300.548,88.506,11.0,6798.0
KODK,EASTMAN KODAK CO,31DEC2018,2018,1511.0,1341.0,170.0,1325.0,-16.0,11.0,3577.0
ETN,EATON CORP PLC,31DEC2018,2018,31092.0,14950.0,16142.0,21609.0,2145.0,11.0,3620.0
EV,EATON VANCE CORP,31OCT2018,2018,3599.328,2155.8,1108.431,1702.249,381.938,11.0,6282.0
ECL,ECOLAB INC,31DEC2018,2018,20074.5,12020.9,8053.6,14668.2,1429.1,11.0,2842.0
EDUC,EDUCATIONAL DEVELOPMENT CORP,28FEB2019,2018,69.266,43.335,25.931,118.811,6.678,14.0,5190.0
EE,EL PASO ELECTRIC CO,31DEC2018,2018,3628.502,2464.399,1164.103,903.603,84.315,11.0,4911.0
ELSE,ELECTRO-SENSORS INC,31DEC2018,2018,13.275,0.55,12.725,7.495,-0.01,14.0,3823.0
EMR,EMERSON ELECTRIC CO,30SEP2018,2018,20390.0,11400.0,8990.0,17408.0,2203.0,11.0,3823.0
MSN,EMERSON RADIO CORP,31MAR2019,2018,41.861,3.133,38.728,8.982,-2.437,12.0,3651.0
ATO,ATMOS ENERGY CORP,30SEP2018,2018,11874.437,7104.486,4769.951,3115.546,603.064,11.0,4924.0
MARA,MARATHON PATENT GROUP INC,31DEC2018,2018,5.195,2.274,2.921,1.562,-12.814,14.0,7374.0
EBF,ENNIS INC,28FEB2019,2018,363.085,73.958,289.127,400.782,37.437,11.0,2761.0
ENZ,ENZO BIOCHEM INC,31JUL2018,2018,101.66,20.539,81.121,104.713,-10.321,11.0,8071.0
EFX,EQUIFAX INC,31DEC2018,2018,7153.2,3997.5,3155.7,3412.1,299.8,11.0,7323.0
EQT,EQT CORP,31DEC2018,2018,20721.344,9763.115,10958.229,4557.868,-2244.568,11.0,4923.0
ERIC,TELEFONAKTIEBOLAGET LM ERICS,31DEC2018,2018,30241.99,20365.782,9876.208,23724.278,-734.78,14.0,3663.0
ESCA,ESCALADE INC,31DEC2018,2018,149.527,21.206,128.321,175.78,20.442,14.0,3949.0
ESP,ESPEY MFG & ELECTRONICS CORP,30JUN2018,2018,36.716,3.235,33.481,32.518,3.076,12.0,3679.0
